barcode,split,plate,plate_index,plate_row,plate_col,Well Position
BC39,1,P3,9,0,9,A10
BC43,1,P3,10,0,10,A11
BC47,1,P3,11,0,11,A12
BC51,1,P3,12,1,0,B01
BC55,1,P3,13,1,1,B02
BC59,1,P3,14,1,2,B03
BC63,1,P3,15,1,3,B04
BC67,1,P3,16,1,4,B05
BC71,1,P3,17,1,5,B06
BC75,1,P3,18,1,6,B07
BC79,1,P3,19,1,7,B08
BC83,1,P3,20,1,8,B09
BC87,1,P3,21,1,9,B10
BC91,1,P3,22,1,10,B11
BC95,1,P3,23,1,11,B12
BC99,1,P3,24,2,0,C01
BC103,1,P3,25,2,1,C02
BC107,1,P3,26,2,2,C03
BC111,1,P3,27,2,3,C04
BC115,1,P3,28,2,4,C05
BC119,1,P3,29,2,5,C06
BC123,1,P3,30,2,6,C07
BC127,1,P3,31,2,7,C08
BC131,1,P3,32,2,8,C09
BC135,1,P3,33,2,9,C10
BC139,1,P3,34,2,10,C11
BC143,1,P3,35,2,11,C12
BC147,1,P3,36,3,0,D01
BC151,1,P3,37,3,1,D02
BC155,1,P3,38,3,2,D03
BC159,1,P3,39,3,3,D04
BC163,1,P3,40,3,4,D05
BC167,1,P3,41,3,5,D06
BC171,1,P3,42,3,6,D07
BC175,1,P3,43,3,7,D08
BC179,1,P3,44,3,8,D09
BC183,1,P3,45,3,9,D10
BC187,1,P3,46,3,10,D11
BC191,1,P3,47,3,11,D12
BC195,1,P3,48,4,0,E01
BC199,1,P3,49,4,1,E02
BC203,1,P3,50,4,2,E03
BC207,1,P3,51,4,3,E04
BC211,1,P3,52,4,4,E05
BC215,1,P3,53,4,5,E06
BC219,1,P3,54,4,6,E07
BC223,1,P3,55,4,7,E08
BC227,1,P3,56,4,8,E09
BC231,1,P3,57,4,9,E10
BC235,1,P3,58,4,10,E11
BC239,1,P3,59,4,11,E12
BC243,1,P3,60,5,0,F01
BC247,1,P3,61,5,1,F02
BC251,1,P3,62,5,2,F03
BC255,1,P3,63,5,3,F04
BC259,1,P3,64,5,4,F05
BC263,1,P3,65,5,5,F06
BC267,1,P3,66,5,6,F07
BC271,1,P3,67,5,7,F08
BC275,1,P3,68,5,8,F09
BC279,1,P3,69,5,9,F10
BC283,1,P3,70,5,10,F11
BC287,1,P3,71,5,11,F12
BC291,1,P3,72,6,0,G01
BC295,1,P3,73,6,1,G02
BC299,1,P3,74,6,2,G03
BC303,1,P3,75,6,3,G04
BC307,1,P3,76,6,4,G05
BC311,1,P3,77,6,5,G06
BC315,1,P3,78,6,6,G07
BC319,1,P3,79,6,7,G08
BC323,1,P3,80,6,8,G09
BC327,1,P3,81,6,9,G10
BC331,1,P3,82,6,10,G11
BC335,1,P3,83,6,11,G12
BC339,1,P3,84,7,0,H01
BC343,1,P3,85,7,1,H02
BC347,1,P3,86,7,2,H03
BC351,1,P3,87,7,3,H04
BC355,1,P3,88,7,4,H05
BC359,1,P3,89,7,5,H06
BC363,1,P3,90,7,6,H07
BC367,1,P3,91,7,7,H08
BC371,1,P3,92,7,8,H09
BC375,1,P3,93,7,9,H10
BC379,1,P3,94,7,10,H11
BC383,1,P3,95,7,11,H12
BC4,1,P4,0,0,0,A01
BC8,1,P4,1,0,1,A02
BC12,1,P4,2,0,2,A03
BC16,1,P4,3,0,3,A04
BC20,1,P4,4,0,4,A05
BC24,1,P4,5,0,5,A06
BC28,1,P4,6,0,6,A07
BC32,1,P4,7,0,7,A08
BC36,1,P4,8,0,8,A09
BC40,1,P4,9,0,9,A10
BC44,1,P4,10,0,10,A11
BC48,1,P4,11,0,11,A12
BC52,1,P4,12,1,0,B01
BC56,1,P4,13,1,1,B02
BC60,1,P4,14,1,2,B03
BC64,1,P4,15,1,3,B04
BC68,1,P4,16,1,4,B05
BC72,1,P4,17,1,5,B06
BC76,1,P4,18,1,6,B07
BC80,1,P4,19,1,7,B08
BC84,1,P4,20,1,8,B09
BC88,1,P4,21,1,9,B10
BC92,1,P4,22,1,10,B11
BC96,1,P4,23,1,11,B12
BC100,1,P4,24,2,0,C01
BC104,1,P4,25,2,1,C02
BC108,1,P4,26,2,2,C03
BC112,1,P4,27,2,3,C04
BC116,1,P4,28,2,4,C05
BC120,1,P4,29,2,5,C06
BC124,1,P4,30,2,6,C07
BC128,1,P4,31,2,7,C08
BC132,1,P4,32,2,8,C09
BC136,1,P4,33,2,9,C10
BC140,1,P4,34,2,10,C11
BC144,1,P4,35,2,11,C12
BC148,1,P4,36,3,0,D01
BC152,1,P4,37,3,1,D02
BC156,1,P4,38,3,2,D03
BC160,1,P4,39,3,3,D04
BC164,1,P4,40,3,4,D05
BC168,1,P4,41,3,5,D06
BC172,1,P4,42,3,6,D07
BC176,1,P4,43,3,7,D08
BC180,1,P4,44,3,8,D09
BC184,1,P4,45,3,9,D10
BC188,1,P4,46,3,10,D11
BC192,1,P4,47,3,11,D12
BC196,1,P4,48,4,0,E01
BC200,1,P4,49,4,1,E02
BC204,1,P4,50,4,2,E03
BC208,1,P4,51,4,3,E04
BC212,1,P4,52,4,4,E05
BC216,1,P4,53,4,5,E06
BC220,1,P4,54,4,6,E07
BC224,1,P4,55,4,7,E08
BC228,1,P4,56,4,8,E09
